127.0.0.1 - - [26/Jan/2019:10:51:31 +0530] "GET / HTTP/1.1" 404 1081
0:0:0:0:0:0:0:1 - - [26/Jan/2019:10:51:31 +0530] "GET /LBS/default.jsp HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [26/Jan/2019:10:51:32 +0530] "GET /favicon.ico HTTP/1.1" 404 1092
0:0:0:0:0:0:0:1 - - [26/Jan/2019:10:51:44 +0530] "GET /LBS/WEB-INF/classes/common/Common.java HTTP/1.1" 404 1058
0:0:0:0:0:0:0:1 - - [26/Jan/2019:10:52:09 +0530] "GET /LBS/GetUsers HTTP/1.1" 200 87
0:0:0:0:0:0:0:1 - - [26/Jan/2019:10:52:24 +0530] "GET /LBS/UserViewFile HTTP/1.1" 200 17
172.20.10.4 - - [26/Jan/2019:11:12:49 +0530] "POST /LBS/GetUsers HTTP/1.1" 200 87
172.20.10.4 - - [26/Jan/2019:11:13:18 +0530] "POST /LBS/InsertFile HTTP/1.1" 200 23
172.20.10.3 - - [26/Jan/2019:11:14:17 +0530] "POST /LBS/LoginServlet HTTP/1.1" 200 211
172.20.10.3 - - [26/Jan/2019:11:14:18 +0530] "POST /LBS/UserViewFile HTTP/1.1" 200 2067
172.20.10.3 - - [26/Jan/2019:11:14:35 +0530] "POST /LBS/WrongLocation HTTP/1.1" 404 1098
172.20.10.3 - - [26/Jan/2019:11:14:47 +0530] "POST /LBS/UserViewFile HTTP/1.1" 200 2067
172.20.10.3 - - [26/Jan/2019:11:14:57 +0530] "POST /LBS/WrongLocation HTTP/1.1" 404 1098
172.20.10.3 - - [26/Jan/2019:11:17:36 +0530] "POST /LBS/WrongLocation HTTP/1.1" 404 1098
172.20.10.3 - - [26/Jan/2019:11:18:58 +0530] "POST /LBS/UserViewFile HTTP/1.1" 200 2067
172.20.10.3 - - [26/Jan/2019:11:19:16 +0530] "POST /LBS/UserViewFile HTTP/1.1" 200 2067
172.20.10.4 - - [26/Jan/2019:11:19:33 +0530] "POST /LBS/GetUsers HTTP/1.1" 200 87
172.20.10.4 - - [26/Jan/2019:11:19:43 +0530] "POST /LBS/InsertFile HTTP/1.1" 200 23
172.20.10.3 - - [26/Jan/2019:11:20:06 +0530] "POST /LBS/UserViewFile HTTP/1.1" 200 2266
172.20.10.3 - - [26/Jan/2019:11:20:19 +0530] "GET /LBS/DecryptFile1?FileId=11&Password=12345 HTTP/1.1" 200 49550
172.20.10.3 - - [26/Jan/2019:11:20:35 +0530] "POST /LBS/UserViewFile HTTP/1.1" 200 2266
172.20.10.3 - - [26/Jan/2019:11:20:51 +0530] "POST /LBS/UserViewFile HTTP/1.1" 200 2266
172.20.10.4 - - [26/Jan/2019:11:35:17 +0530] "POST /LBS/LoginServlet HTTP/1.1" 200 207
172.20.10.3 - - [26/Jan/2019:13:10:25 +0530] "POST /LBS/UserViewFile HTTP/1.1" 200 2266
172.20.10.3 - - [26/Jan/2019:13:10:56 +0530] "GET /LBS/DecryptFile1?FileId=11&Password=12345 HTTP/1.1" 200 49550
172.20.10.4 - - [26/Jan/2019:13:25:16 +0530] "POST /LBS/GetUsers HTTP/1.1" 200 87
172.20.10.4 - - [26/Jan/2019:13:25:19 +0530] "POST /LBS/GetUsers HTTP/1.1" 200 87
172.20.10.3 - - [26/Jan/2019:13:26:03 +0530] "POST /LBS/UserViewFile HTTP/1.1" 200 2266
